           Time Step     Kinetic Energy eV     Potential Energy eV       Total Energy eV         Current Temp
                 406           59.9382335          -37.8525874           22.0856461          145.0033807
                 407           60.1337602          -38.0509234           22.0828368          145.4764015
                 408           59.9449254          -37.8621327           22.0827927          145.0195698
                 409           59.3930054          -37.3068134           22.0861921          143.6843577
                 410           58.5406711          -36.4483013           22.0923698          141.6223790
                 411           57.4848480          -35.3862778           22.0985701          139.0681175
                 412           56.3456723          -34.2399324           22.1057399          136.3122082
                 413           55.2527907          -33.1402207           22.1125700          133.6682944
                 414           54.3305811          -32.2114534           22.1191276          131.4372725
                 415           53.6839713          -31.5596420           22.1243293          129.8729855
                 416           53.3864855          -31.2612280           22.1252575          129.1533038
                 417           53.4718689          -31.3483165           22.1235524          129.3598645
                 418           53.9302526          -31.8095567           22.1206959          130.4687926
                 419           54.7093027          -32.5954641           22.1138385          132.3534810
                 420           55.7202056          -33.6144713           22.1057344          134.7990710
                 421           56.8478225          -34.7505113           22.0973111          137.5270168
                 422           57.9638417          -35.8742102           22.0896314          140.2269055
                 423           58.9414165          -36.8579899           22.0834266          142.5918677
                 424           59.6696391          -37.5918829           22.0777562          144.3535935
